Report Number,Supplemental Number,Accident Year,Accident Date/Time,Operator ID,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations,Operator Employee Injuries,Operator Contractor Injuries,Emergency Responder Injuries,Other Injuries,Public Injuries,All Injuries,Operator Employee Fatalities,Operator Contractor Fatalities,Emergency Responder Fatalities,Other Fatalities,Public Fatalities,All Fatalities,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs
20100207,15303,2010,8/25/2010 1:30 PM,32246,LDH ENERGY MONT BELVIEU L.P.,LDH ENERGY MONT BELVIEU SOUTH TERMINAL,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,MONT BELVIEU,CHAMBERS,TX,29.847028,-94.897099,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,6,0,0,6,NO,NO,YES,8/25/2010 13:30,8/25/2010 17:30,0,,,,,,,,,,,,,4820,180,0,,0,0,5000
20100208,20568,2010,8/26/2010 8:18 PM,4472,"KINDER MORGAN ENERGY PARTNERS, L.P.",MONT BELVIEU PUMP STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,ETHANE (80%) PROPANE (20%) MIX,MONT BELVIEU,CHAMBERS,TX,29.84671,-94.9057,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,1,1.9,0,1,NO,NO,YES,8/26/2010 21:15,8/27/2010 5:12,0,,,,,,,,,,,,,18659,18,0,0,0,0,18677
20100210,17389,2010,8/27/2010 5:42 AM,2731,CHEVRON PIPE LINE CO,PINES METER STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,HP PROPYLENE,BAYTOWN,HARRIS,TX,29.825329,-94.922859,ALL OTHER CAUSES,MISCELLANEOUS,0.02,0,0,0.02,YES,NO,NO,,,0,,,,,,,,,,,,,2500,0,0,0,0,0,2500
20100209,17892,2010,8/27/2010 10:25 AM,31684,CONOCOPHILLIPS,TANK 1078 AT THE CASPER PUMP STATION,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,EVANSVILLE,NATRONA,WY,42.855444,-106.246861,INCORRECT OPERATION,INCORRECT INSTALLATION,10,0,0,10,NO,NO,NO,,,0,,,,,,,,,,,,,15000,1260,0,0,0,0,16260
20100220,15823,2010,8/27/2010 4:30 PM,31618,ENTERPRISE PRODUCTS OPERATING LLC,P-41,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,GILBOA,SCHOHARIE,NY,42.46833,-74.3515,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,3283,0,0,3283,NO,NO,YES,8/27/2010 17:00,2/2/2011 13:35,23,,,,,,,,,,,,,1441000,145332,62100,163324,0,0,1811756
20100211,19614,2010,8/31/2010 3:30 AM,4906,EXXONMOBIL PIPELINE CO,BAYTOWN PRODUCTS 2 (SAPL),ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,BAYTOWN,HARRIS,TX,29.73525,-95.02365,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.48,0,0.48,0,YES,NO,YES,8/31/2010 3:30,8/31/2010 16:30,0,,,,,,,,,,,,,49000,50,0,0,0,0,49050
20100214,15870,2010,9/1/2010 5:20 PM,2731,CHEVRON PIPE LINE CO,SOUTH FEEDSTOCK,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,PROPANE,FRIENDSWOOD,GALVESTON,TX,29.54619,-95.213783,ALL OTHER CAUSES,MISCELLANEOUS,4.46,0,0,4.46,NO,NO,YES,9/1/2010 17:25,9/3/2010 10:00,0,,,,,,,,,,,,,38700,100,0,7000,0,0,45800
20100264,17849,2010,9/2/2010 7:50 AM,31454,"NUSTAR LOGISTICS, L.P.",WICHITA FALLS STATION,ONSHORE,TANK,CRUDE OIL,,,WICHITA FALLS,WICHITA ,TX,33.91269,-98.43935,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,3,0,0,3,NO,NO,NO,,,,,,,,,,,,,,,,0,222,0,1800,200,0,2222
20100205,15301,2010,9/3/2010 9:45 AM,9175,JAYHAWK PIPELINE LLC,,ONSHORE,UNDERGROUND,CRUDE OIL,,,HUGOTON ,STEVENS,KS,37.08414,-101.32146,CORROSION,INTERNAL,2,0,0,2,NO,NO,YES,9/3/2010 10:10,9/3/2010 18:50,0,,,,,,,,,,,,,,120,500,2000,1500,,4120
20100212,21563,2010,9/5/2010 4:56 AM,12105,"MAGELLAN AMMONIA PIPELINE, L.P.",ENID LATERAL,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ANHYDROUS AMMONIA,,,GRANT,OK,36.810495,-97.831946,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0.71,0,0,0.71,NO,NO,NO,,,0,,,,,,,,,,,,,0,60,0,20000,25000,0,45060
20100215,18338,2010,9/5/2010 5:05 PM,4906,EXXONMOBIL PIPELINE CO,,OFFSHORE,,CRUDE OIL,,,,,,28.617778,-92.068889,INCORRECT OPERATION,INCORRECT VALVE POSITION,0,,0,0,YES,NO,NO,,,0,,,,,,,,,,,,,0,0,0,0,0,0,0
20100219,16776,2010,9/7/2010 2:11 PM,2170,CENEX PIPELINE LLC,RECEIVER AT MP 191,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,N/A,PRAIRIE,MT,46.71782754,-105.44129948,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,3.6,0,0,3.6,NO,NO,YES,9/7/2010 14:22,9/7/2010 15:20,0,,,,,,,,,,,,,200,300,0,500,0,9500,10500
20100259,19203,2010,9/7/2010 2:30 PM,26149,ALYESKA PIPELINE SERVICE CO,RGV-35A,ONSHORE,ABOVEGROUND,CRUDE OIL,,,COLDFOOT,N/A,AK,67.7987,-149.8164,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,0,0.12,0,NO,NO,,,,,,,,,,,,,,,,,700,8,0,3420,0,0,4128
20100265,17354,2010,9/8/2010 8:11 AM,10012,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,NUSTAR ARK CITY STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,ARKANSAS CITY,COWLEY CO,KS,37.04441,-97.01768,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.5,0,0.5,0,NO,NO,,,,0,,,,,,,,,,,,,2500,60,0,3000,660,0,6220
20100213,17741,2010,9/8/2010 10:30 AM,3445,DIXIE PIPELINE,MARINGOUIN STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,MARINQOUIN,POINTEE COUPEE,LA,30.496161,-91.560667,INCORRECT OPERATION,OTHER INCORRECT OPERATION,382,0,0,382,NO,NO,NO,,,0,,,,,,,,,,,,,0,17328,0,0,0,0,17328
20100217,17311,2010,9/8/2010 4:22 PM,32109,ONEOK NGL PIPELINE LP,212 METER RUN AT CONWAY STORAGE ,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,NATURAL GASOLINE,WINDOM,MCPHERSON,KS,38.37239,-97.80143,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,0.85,0.1,0,0.85,NO,NO,NO,,,0,,,,,,,,,,,,,0,60,0,0,0,0,60
20100218,17312,2010,9/8/2010 4:22 PM,32109,ONEOK NGL PIPELINE LP,313 JUNCTION OR KM/ONEOK DELIVERY,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,NATURAL GASOLINE,WINDOM,MCPHERSON,KS,38.3693,-97.83197,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,0.85,0.1,0,0.85,NO,NO,NO,,,0,,,,,,,,,,,,,0,60,0,0,0,0,60
20100216,17764,2010,9/9/2010 10:30 AM,12624,MOBIL CORP,,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,,,TX,29.97496932,-94.0572917,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.37,0,0.37,0,NO,NO,,,,,,,,,,,,,,,,,0,43,0,5000,40000,2400,47443
20100221,20596,2010,9/9/2010 11:30 AM,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",LINE 6A,ONSHORE,UNDERGROUND,CRUDE OIL,,,ROMEOVILLE,WILL,IL,41.655265,-88.076523,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,7538,0,7538,0,NO,NO,YES,9/9/2010 12:28,9/17/2010 9:50,470,,,,,,,,,,,,,2810324,70000,12233787,12146232,16538963,3594260,47393566
20100223,15467,2010,9/11/2010 8:55 AM,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",LINE 6B,ONSHORE,UNDERGROUND,CRUDE OIL,,,FOWLERVILLE,LIVINGSTON,MI,42.56794,-84.10547,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR,0.24,0,0.24,0,NO,NO,NO,,,0,,,,,,,,,,,,,20000,0,0,2500,2500,0,25000
20100226,18629,2010,9/12/2010 11:15 AM,31947,ENBRIDGE PIPELINES (OZARK) L.L.C.,EL DORADO TERMINAL,ONSHORE,TANK,CRUDE OIL,,,EL DORADO,BUTLER,KS,37.80556,-96.915,CORROSION,EXTERNAL,0.24,0,0.24,0,NO,NO,NO,,,0,,,,,,,,,,,,,70000,0,0,0,10000,0,80000
20110070,17869,2010,9/12/2010 11:45 AM,26085,"PLAINS MARKETING, L.P.",ST. JAMES TERMINAL,ONSHORE,TANK,CRUDE OIL,,,ST JAMES,ST JAMES,LA,30.0016,-90.8521,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",161,,161,0,NO,NO,NO,,,,,,,,,,,,,,,,149622,14400,0,10900,3000,0,177922
20100224,18352,2010,9/13/2010 1:57 PM,4805,EXPLORER PIPELINE CO,FAUNA TANK FARM,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,HOUSTON,HARRIS,TX,29.816369,-95.18092,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,189,,189,0,NO,NO,YES,9/13/2010 14:03,9/13/2010 15:09,0,,,,,,,,,,,,,7000,8000,0,50000,259657,39500,364157
20100225,15432,2010,9/16/2010 9:30 AM,18718,SUNOCO PIPELINE L.P.,TEXAS PLAINS SYSTEM,ONSHORE,UNDERGROUND,CRUDE OIL,,,ANSON,JONES,TX,32.71141,-99.81866,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.5,0,0,0.5,NO,NO,NO,,,,,,,,,,,,,,,,16967,35,0,1863,0,0,18865
20100222,15358,2010,9/16/2010 1:20 PM,31618,ENTERPRISE PRODUCTS OPERATING LLC,EAST LEG BLUE LINE,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,PROPANE,WYOMING,JONES,IA,42.02244,-91.00488,ALL OTHER CAUSES,MISCELLANEOUS,1.7,968.3,0,1.7,NO,NO,YES,9/16/2010 13:41,9/19/2010 13:00,0,,,,,,,,,,,,,65520,46036,4800,0,0,0,116356
20100266,17411,2010,9/16/2010 3:20 PM,22610,"MAGELLAN PIPELINE COMPANY, LP",WILLIS PUMP STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,WILLIS,MONTGOMERY,TX,30.43779,-95.62383,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.83,0,0.83,0,NO,NO,,,,,,,,,,,,,,,,,100,0,0,5000,35000,0,40100
20100227,15336,2010,9/16/2010 4:00 PM,1845,"BUCKEYE PARTNERS, LP",CASEY TO INDIANA STATE LINE,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,MARTINSVILLE,CLARK,IL,39.38235,-87.86195,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.71,,0.71,0,NO,NO,YES,9/16/2010 17:47,9/16/2010 19:00,,,,,,,,,,,,,,,,,540,400,,940
20100228,15871,2010,9/17/2010 1:45 PM,2731,CHEVRON PIPE LINE CO,EAST FEEDSTOCK SYSTEM,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,ETHANE/PROPANE MIX,PT. ARTHUR,JEFFERSON,TX,29.920836,-94.020288,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",87,0,0,87,NO,NO,YES,9/17/2010 14:10,9/18/2010 15:00,0,,,,,,,,,,,,,45000,5250,0,10000,0,0,60250
20100203,17592,2010,9/19/2010 7:40 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,GAINES STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,SEMINOLE,GAINES,TX,32.46539,-103.57639,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,200,0,0,200,NO,NO,YES,9/19/2010 7:40,9/19/2010 15:30,0,,,,,,,,,,,,,16000,10000,0,1400,0,0,27400
20100232,15519,2010,9/22/2010 7:40 AM,22442,WEST TEXAS GULF PIPELINE CO,SOUR LAKE CITGO JUNCTION ,ONSHORE,UNDERGROUND,CRUDE OIL,,,SOUR LAKE,HARDIN,TX,30.1479,-94.4001,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",2,0,0,2,NO,NO,YES,9/22/2010 8:00,9/22/2010 13:00,,,,,,,,,,,,,,10431,142,0,7872,2639,0,21084
20100230,18572,2010,9/23/2010 12:40 PM,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",DEER RIVER STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,DEER RIVER,ITASCA,MN,47.32444,-93.76306,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.24,0,0.24,0,NO,NO,NO,,,0,,,,,,,,,,,,,100,0,0,5000,15000,15000,35100
20100229,17707,2010,9/24/2010 9:30 AM,18718,SUNOCO PIPELINE L.P.,36G PUMP,ONSHORE,ABOVEGROUND,CRUDE OIL,,,BRECKENRIDGE,STEPHENS,TX,32.7478,-98.9129,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,2,0,1,1,NO,NO,NO,,,,,,,,,,,,,,,,0,37,0,100,100,0,237
20100235,17705,2010,9/27/2010 6:00 PM,18718,SUNOCO PIPELINE L.P.,HEBERT STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,BEAUMONT,JEFFERSON,TX,29.98219,-94.06028,INCORRECT OPERATION,INCORRECT VALVE POSITION,1,0,0.83,0.17,NO,NO,YES,9/27/2010 18:00,9/27/2010 18:10,,,,,,,,,,,,,,3413,0,0,1800,3700,0,8913
20100236,17704,2010,9/28/2010 1:46 PM,18718,SUNOCO PIPELINE L.P.,HEBERT STATION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,BEAUMONT,JEFFERSON,TX,29.98219,-94.06028,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,0.24,0,0.24,0,NO,NO,YES,9/28/2010 13:55,9/28/2010 14:00,,,,,,,,,,,,,,500,20,0,0,500,0,1020
20100237,17699,2010,9/30/2010 8:30 AM,18718,SUNOCO PIPELINE L.P.,THOMAS STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,THOMAS,GREGG,TX,32.47831,-94.868,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,1,0,0,1,NO,NO,NO,,,,,,,,,,,,,,,,2246,77,0,1659,0,0,3982
20100238,15372,2010,10/5/2010 11:35 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,"LOU-TEX PROPYLENE 10""",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,PROPYLENE,INDIAN BAYOU,VERMILION,LA,30.11356,-92.254,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,1,0,0,1,NO,NO,YES,10/5/2010 13:00,10/7/2010 13:30,5,,,,,,,,,,,,,35000,150,0,0,0,0,35150
20100239,17363,2010,10/6/2010 1:20 PM,18718,SUNOCO PIPELINE L.P.,MARYSVILLE STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,,ST. CLAIR,ST. CLAIR,MI,42.9015,-82.5101,CORROSION,EXTERNAL,1,0,1,0,NO,NO,NO,,,0,,,,,,,,,,,,,0,0,0,70000,5000,0,75000
20100277,20631,2010,10/8/2010 5:30 AM,31618,ENTERPRISE PRODUCTS OPERATING LLC,BEAUMONT TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,BEAUMONT,JEFFERSON,TX,30.0113,-94.057133,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,100,0,80,20,NO,NO,NO,,,0,,,,,,,,,,,,,0,2000,0,0,260519,0,262519
20100240,18560,2010,10/11/2010 7:45 AM,31888,CENTURION PIPELINE L.P.,SLAUGHTER STATION,ONSHORE,TANK,CRUDE OIL,,,LEVELLAND,HOCKLEY,TX,33.41305,-102.44337,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,10200,,9950,250,NO,NO,NO,,,0,,,,,,,,,,,,,7000,3850,0,0,53280,0,64130
20110073,18054,2010,10/11/2010 2:15 PM,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",PERTH AMBOY TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,PERTH AMBOY,MIDDLESEX,NJ,40.52243,-74.25384,INCORRECT OPERATION,INCORRECT VALVE POSITION,2,0,2,0,NO,NO,NO,,,0,,,,,,,,,,,,,1000,200,0,0,6000,0,7200
20100241,16556,2010,10/11/2010 4:10 PM,7063,HARBOR PIPELINE CO,HARBOR PIPELINE,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,MANSFIELD TOWNSHIP,BURLINGTON     ,NJ,40.091758,-74.738542,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0,0,0,0,YES,NO,NO,,,0,,,,,,,,,,,,,0,0,0,0,0,0,0
20100247,17830,2010,10/21/2010 5:24 PM,31555,KINDER MORGAN CO2 CO. LP,,ONSHORE,ABOVEGROUND,CO2 (CARBON DIOXIDE),,,,,TX,31.06576,-103.17361,ALL OTHER CAUSES,MISCELLANEOUS,299,,0,299,NO,NO,,,,,,,,,,,,,,,,,600,675,0,250,0,0,1525
20100252,15697,2010,10/23/2010 1:00 AM,2731,CHEVRON PIPE LINE CO,WEST TEXAS LPG,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,SANTO,PALO PINTO,TX,32.6075,-98.1,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,6.2,0,0,6.2,NO,NO,,,,0,,,,,,,,,,,,,0,150,0,5000,0,24000,29150
20100273,18780,2010,10/26/2010 9:30 AM,30829,ENTERPRISE CRUDE PIPELINE LLC,CAMP STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,FOX,CARTER,OK,34.37306,-97.51083,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.48,0,0.48,0,NO,NO,NO,,,0,,,,,,,,,,,,,0,50,0,0,5000,0,5050
20100284,17473,2010,10/27/2010 3:00 PM,30829,ENTERPRISE CRUDE PIPELINE LLC,HOPE STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,HOPE,LAVACA,TX,29.19462,-96.98528,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,10,,2,8,NO,NO,NO,,,,,,,,,,,,,,,,7500,300,0,0,20000,0,27800
20100250,17954,2010,11/1/2010 9:40 AM,32147,MARATHON PIPE LINE LLC,"CREAL SPRINGS-MARTINSVILLE 26""-10"" PRODUCTS",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,CREAL SPRINGS,WILLIAMSON,IL,37.644112,-88.877277,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.83,0,0.83,0,NO,NO,NO,,,0,,,,,,,,,,,,,1500,90,0,400,0,0,1990
20100246,15612,2010,11/1/2010 2:55 PM,32109,ONEOK NGL PIPELINE LP,STERLING 1 INDEX 10177,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,WHITEWRIGHT,FANNIN,TX,33.54657,-96.36906,CORROSION,EXTERNAL,241,0,0,241,NO,NO,YES,11/1/2010 16:25,11/6/2010 9:30,0,,,,,,,,,,,,,244000,6358,0,0,0,0,250358
20100270,17410,2010,11/2/2010 2:20 AM,22610,"MAGELLAN PIPELINE COMPANY, LP",EAST HOUSTON TERMINAL,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,HOUSTON,HARRIS,TX,29.4745,-95.1642,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,0,0.12,0,NO,NO,,,,,,,,,,,,,,,,,0,0,0,4000,0,0,4000
20100249,18417,2010,11/2/2010 9:00 AM,2552,COLONIAL PIPELINE CO,HEBERT STATION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,BEAUMONT,JEFFERSON,TX,29.975,-94.056,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,3.57,0,3.57,0,NO,NO,,,,,,,,,,,,,,,,,10000,350,0,24650,0,0,35000
20100251,18418,2010,11/3/2010 11:00 AM,2552,COLONIAL PIPELINE CO,NORTH PORT ARTHUR STATION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,PORT ARTHUR,JEFFERSON,TX,29.90801,-94.01201,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,3.36,0,3.36,0,NO,NO,,,,,,,,,,,,,,,,,15670,330,0,5000,0,0,21000
20100268,15838,2010,11/4/2010 12:10 PM,18092,"SFPP, LP",LS 108,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,POMONA,LOS ANGELES,CA,34.058206,-117.763553,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,2.5,,2.5,0,NO,NO,YES,11/4/2010 12:15,11/4/2010 17:43,0,,,,,,,,,,,,,550,292,0,31813,32309,0,64964
20100305,15465,2010,11/4/2010 2:00 PM,300,"PLAINS PIPELINE, L.P.",FOSTER GATHERING,ONSHORE,UNDERGROUND,CRUDE OIL,,,ODESSA,ECTOR,TX,31.8768505,-102.4564661,CORROSION,EXTERNAL,0.5,0,0.5,0,NO,NO,YES,11/4/2010 15:15,11/4/2010 16:00,,,,,,,,,,,,,,5000,40,0,2500,1000,0,8540
20100245,15376,2010,11/5/2010 8:00 AM,32109,ONEOK NGL PIPELINE LP,10026/CRINER STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,PURCELL,MCCLAIN,OK,34.94418,-97.47736,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,3.53,0,0,3.53,NO,NO,NO,,,0,,,,,,,,,,,,,10,149,,,,,159
20100278,18464,2010,11/6/2010 11:00 AM,30829,ENTERPRISE CRUDE PIPELINE LLC,C-18,ONSHORE,UNDERGROUND,CRUDE OIL,,,CHICO,WISE,TX,33.31354,-97.86774,CORROSION,EXTERNAL,20,,10,10,NO,NO,NO,,,,,,,,,,,,,,,,25000,500,0,0,39600,0,65100
20100281,18055,2010,11/8/2010 2:45 AM,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",ARGO TERMINAL,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,ARGO,,IL,41.7678,-87.82972,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,1,0,1,0,NO,NO,NO,,,,,,,,,,,,,,,,0,100,0,160,1500,0,1760
20100276,18419,2010,11/8/2010 11:15 AM,2552,COLONIAL PIPELINE CO,COLONIAL,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,CROSBY,,TX,29.85836,-94.97929,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.48,0,0.36,0.12,NO,NO,NO,,,,,,,,,,,,,,,,49955,45,0,0,0,30000,80000
